# Data based on NGFS/DECam tile 1 - dither 1 - i band
 1     03:40:30.60 -36:30:23.3     03:39:02.03 -36:21:40.8
 3     03:37:25.22 -36:30:28.0     03:35:56.92 -36:21:34.1
 4     03:41:16.51 -36:20:27.4     03:39:48.06 -36:11:46.9
 5     03:39:44.14 -36:20:35.3     03:38:15.65 -36:11:50.1
 6     03:38:11.56 -36:20:38.7     03:36:43.21 -36:11:47.6
 7     03:36:39.03 -36:20:35.5     03:35:11.00 -36:11:38.9
 8     03:42:02.29 -36:10:30.6     03:40:34.04 -36:01:52.3
 9     03:40:30.10 -36:10:42.9     03:39:01.82 -36:01:58.4
10     03:38:57.83 -36:10:47.2     03:37:29.55 -36:01:58.0
11     03:37:25.36 -36:10:47.1     03:35:57.28 -36:01:52.5
12     03:35:52.98 -36:10:41.4     03:34:25.32 -36:01:42.3
13     03:42:47.85 -36:00:33.5     03:41:19.72 -35:51:56.0
14     03:41:15.98 -36:00:46.5     03:39:47.83 -35:52:03.6
15     03:39:43.77 -36:00:54.6     03:38:15.58 -35:52:06.9
16     03:38:11.52 -36:00:57.4     03:36:43.49 -35:52:04.3
17     03:36:39.21 -36:00:53.9     03:35:11.42 -35:51:57.0
18     03:35:07.16 -36:00:45.2     03:33:40.34 -35:51:45.0
19     03:42:47.34 -35:50:43.1     03:41:19.39 -35:42:04.6
20     03:41:15.70 -35:50:55.1     03:39:47.68 -35:42:11.4
21     03:39:43.74 -35:51:02.7     03:38:15.67 -35:42:14.0
22     03:38:11.59 -35:51:04.5     03:36:43.65 -35:42:11.6
23     03:36:39.45 -35:51:02.2     03:35:11.82 -35:42:04.8
24     03:35:07.53 -35:50:54.8     03:33:40.29 -35:41:54.2
25     03:43:32.59 -35:40:44.0     03:42:04.74 -35:32:06.5
26     03:42:01.07 -35:40:57.4     03:40:33.29 -35:32:15.7
27     03:40:29.43 -35:41:06.7     03:39:01.50 -35:32:20.5
28     03:38:57.57 -35:41:11.6     03:37:29.75 -35:32:20.2
29     03:37:25.59 -35:41:11.2     03:35:57.97 -35:32:16.4
30     03:35:53.68 -35:41:06.5     03:34:26.51 -35:32:07.0
31     03:34:22.02 -35:40:57.5     03:32:55.20 -35:31:54.6
32     03:43:31.99 -35:30:51.8     03:42:04.31 -35:22:14.9
33     03:42:00.68 -35:31:05.4     03:40:33.04 -35:22:22.1
34     03:40:29.30 -35:31:13.6     03:39:01.46 -35:22:27.9
35     03:38:57.57 -35:31:17.6     03:37:29.88 -35:22:27.0
36     03:37:25.72 -35:31:19.1     03:35:58.28 -35:22:23.0
37     03:35:54.00 -35:31:13.9     03:34:26.97 -35:22:15.7
38     03:34:22.54 -35:31:05.1     03:32:55.92 -35:22:03.5
39     03:42:45.75 -35:21:07.7     03:41:18.28 -35:12:26.8
40     03:41:14.63 -35:21:17.8     03:39:47.08 -35:12:32.4
41     03:39:43.18 -35:21:23.3     03:38:15.65 -35:12:33.6
42     03:38:11.61 -35:21:24.7     03:36:44.20 -35:12:32.1
43     03:36:39.99 -35:21:23.6     03:35:13.05 -35:12:27.9
44     03:35:08.71 -35:21:17.4     03:33:42.09 -35:12:18.3
45     03:42:45.22 -35:11:16.5     03:41:17.86 -35:02:35.7
46     03:41:14.17 -35:11:25.7     03:39:46.80 -35:02:40.2
47     03:39:43.01 -35:11:31.3     03:38:15.64 -35:02:42.3
48     03:38:11.59 -35:11:32.7     03:36:44.47 -35:02:40.1
49     03:36:40.21 -35:11:31.1     03:35:13.46 -35:02:35.2
50     03:35:09.10 -35:11:26.7     03:33:42.64 -35:02:27.6
51     03:41:59.15 -35:01:30.8     03:40:31.98 -34:52:47.4
52     03:40:28.26 -35:01:37.1     03:39:01.08 -34:52:50.0
53     03:38:57.21 -35:01:40.2     03:37:30.14 -34:52:50.5
54     03:37:26.03 -35:01:40.3     03:35:59.30 -34:52:47.0
55     03:35:55.05 -35:01:37.4     03:34:28.56 -34:52:41.3
56     03:41:13.29 -34:51:43.2     03:39:46.29 -34:42:58.6
57     03:39:42.55 -34:51:47.7     03:38:15.64 -34:42:59.7
58     03:38:11.66 -34:51:49.0     03:36:44.93 -34:42:58.5
59     03:36:40.75 -34:51:48.0     03:35:14.35 -34:42:54.4
60     03:40:27.61 -34:41:55.4     03:39:00.85 -34:33:09.9
#61     03:38:56.90 -34:42:00.8     03:37:30.35 -34:33:10.3
62     03:37:26.32 -34:41:58.0     03:35:59.93 -34:33:06.9
